,vmax_forward_Enz_A,vmax_forward_Enz_B,vmax_forward_Enz_C,vmax_forward_Enz_D,vmax_forward_Enz_E,vmax_forward_Enz_F,vmax_forward_Enz_G,vmax_forward_Enz_H,vmax_forward_Enz_L,vmax_forward_TKT2,vmax_forward_RPI,vmax_forward_PDH,vmax_forward_CS,km_substrate2_TKT2,km_substrate1_PDH,km_substrate1_Enz_A,km_substrate2_Enz_A,vmax_forward_Enz_I,km_substrate1_Enz_I,Product_I
613,1.6088731580419826,1.6309956537204462,1.0801408852860115,1.0781528934963613,0.5955412398895725,1.155002656591322,0.410994741825206,1.569414482586948,1.6654555197290812,2.560109525837836,1.6115617353089697,0.7483453424572633,1.0390938426883152,1.9968713079279021,1.1054029599614419,2.296534187883268,1.4449110436112333,1.2186735189538314,0.9550839435448226,-0.2689378208792554
4761,1.1718645841866702,1.421002254659449,1.499086700591907,1.493790014905573,1.82226906071772,1.0244539768956409,1.3357503483773292,1.5373417006047274,1.234938540443532,0.3329903158604961,0.9294613651297479,0.8129688132629989,0.7913798320523895,1.6450116857590869,1.286449642168288,1.9262479312362926,1.4625024659773067,0.9103748042204753,1.1033128045970129,0.5969987329934504
1687,1.4431378949543978,1.6201248385283673,0.6365536643753462,1.2925249853446248,1.3138471818608957,0.8254922715892666,1.1296545236879272,1.305965995180379,1.537878602226906,1.5641359368250307,1.2617829421536693,0.7920247596551944,0.5700814461518364,1.8686582722673357,1.5247021146060606,0.918553123584077,1.2433243166456451,0.9086697230508678,1.0342564712797813,1.340745387389334
2810,0.8315391409378462,0.750654552637256,1.0803204963874347,0.48166518457800966,1.273007339674518,1.0109371886212852,1.3770262277909513,1.1592607755943058,0.36301503184380135,2.19932396261594,1.177324246193997,1.3604312747891834,1.1912737503227175,1.7470974906743941,1.239983199206052,1.4794970189764658,1.370621642136416,1.6211828263644064,0.596577499339599,0.3012825698878139
2821,1.2120983755622043,1.5316933434995113,0.9569137405843716,0.4789596062608604,1.1260667110869065,1.4848037811270363,0.7686490655957269,1.6874087598021885,1.2176404505692913,1.442583650731147,0.9412907999086108,1.7359500517488717,1.2476935315753108,1.1301931862242232,1.5133385499752752,1.52758315956768,1.455939287975245,0.47240809438744863,0.38228586577861123,0.47713719090014683
527,1.4614101126079666,1.26939139886232,0.5623819015570484,1.1631688798082989,0.5386177186938796,1.6220367539486884,0.7994741460010796,1.5566074217896309,0.4770386442022171,0.5672504269039211,0.8460146907781262,1.2437954059157086,1.1639983505221225,1.8258828127797275,0.8444957477321757,0.33756286184640666,0.16770852566187888,1.0901754555447087,0.59911725432234,1.634733367332966
1639,1.8048860471703543,0.6715457791459589,1.404179584943953,1.444811640323785,1.107866368606337,0.7078184270514809,1.1958918997096977,1.3760952714616228,1.7150353371081506,2.5774797688891082,0.9246408957511405,1.2308698279433137,1.3045839391869374,1.3788567529690374,0.5712006140275342,1.1919596263135617,0.7721952830983732,1.085408877680015,0.9844304680290887,0.6118834033594447
417,2.0179159937910365,1.787167435673151,1.0153569476666435,0.7609659455167901,0.8869591468598217,2.0174281516871155,0.9068692975009176,1.2170669130585436,1.3632383467968345,1.6464839089036698,0.962092956393952,1.1192681967590667,1.0793539530952396,1.994065328744992,1.08110423741657,2.5670058649221126,0.6047851693644131,1.2053987917805151,1.2177602497860742,0.912462594436073
717,1.2407731608506312,1.2133260795495993,0.9419580284446968,1.9239556684503347,1.2710917001774742,1.4635646208354227,0.8255854726938223,1.691496446076248,1.970771936331085,2.617122192807787,1.1511569631017824,0.7630449203884037,1.1780501662933665,1.185890628710001,1.2137895529539033,1.9856135300425783,1.3313429218844275,1.134440099971253,1.197250382953462,0.5235717791680186
1751,1.2274618632745147,1.2623017579408824,1.4058316404023052,1.7077620193054492,1.7150001395901964,1.4688223952235302,0.695462049657488,0.8343950313992914,0.5059861543291093,0.7189543923886709,0.44695730578749104,0.9838106998385748,1.142336125346314,1.624500399092347,1.1488223356676042,-0.035663174538159065,0.8417811354681694,0.7923607774000604,0.8995001790366771,1.5074064456712193
3696,1.2503187194039618,1.130342763660495,1.7502039310688218,0.5341345056890593,0.1943201422192508,1.8318024479241242,1.5821342242079646,1.0386835568330908,1.0978829351177841,0.20047596779505023,1.2611831038064303,0.7564729620705704,1.4719333930248115,2.419783147965658,1.5543186570045209,1.3273666685609966,1.431562451887626,1.305647945032925,1.0712393476075335,1.6560356265123541
3191,0.10147810693572157,1.4203123472591541,1.5940806845256923,1.6073791032708742,1.8485719451683238,0.9371746964780512,1.4341097686441997,1.5140838101991607,0.8733009940542918,1.7475824591791413,1.500184112594047,0.7511506256031599,1.3837888388058244,0.5089964533253327,1.076059522815854,1.9630164221313526,1.0578271409258118,1.1810240506924923,1.2563237756039403,0.25101216531640536
4156,1.33747223081851,1.4786368326225756,1.5590363807172847,1.390760280928332,0.7647703184398098,1.1130381438463721,1.7688857791944426,1.048436587670877,1.2502420068078326,1.1381273407108945,0.9916428450939226,1.3959827730185763,0.5543211759916447,2.2459732750680477,1.4783487977488594,1.0012206796327046,0.724519075720262,1.1064601354901034,1.0779924321122152,1.337292347135403
1161,0.7026006047551214,1.3011491269373492,0.7991405665490308,1.8013230103279332,0.9457389100252426,2.049865714900597,1.2938728267258455,1.0239591283056002,1.6517990804462084,0.976579436141382,1.23228042160526,0.9821916729421997,1.4737755920794249,1.6650357386819068,1.4172910895050583,0.9295713691194839,1.1440027813506348,0.8158218688295852,1.3212101239822958,0.9436643498362016
3802,0.910257160482592,0.6697180228016514,0.6492204929495939,1.5881004416565014,1.488076643033995,1.2388493686084432,1.0287974033756468,1.5427921426251354,1.71737596953266,0.34082216545031985,0.9772131406460789,1.266105680092629,1.5269346562615091,2.8366915275832936,1.2611272940224223,0.8166745282177964,1.164380181792068,1.0693366659336483,0.9210955840633709,1.6220961010334034
1269,1.5193828572028691,1.155469829163756,0.9113637565209725,1.533588591056855,1.4383368157249858,1.4569682568862543,0.7356033200787608,0.9485426064624654,0.8213300413473451,1.5291031037549119,1.1532697864446324,1.456871903826193,1.1500162866955657,2.1039601667626946,0.9359604187674714,2.770611585501083,0.8006886930829354,0.5763851486206617,0.9589941222114728,0.5066928431678244
4976,0.7747201151166385,1.4557660694262253,1.2730943215105155,1.4068985106575562,1.7014165114420405,1.4732656451872477,1.1468069914616026,1.3526663375304935,1.087393468043631,1.784566110272148,1.3409133859366746,1.3123490086812242,0.7563556302233658,0.8048698371112262,1.4387346216052797,0.8402762869777721,0.4356279768024419,0.6429761615693139,0.7430406488688007,0.6118968215504927
3678,1.3166368356526303,0.8065641430569259,1.136909462306956,0.788438661079575,1.6673281477076936,-0.032393748155506885,1.4921314108254025,1.5751382452800624,1.130821527675125,2.301193445585411,1.4304895205731922,1.45442546339016,0.9329657229541803,-0.30761428184336004,1.1463869317117947,1.9345198711147096,0.9166470949603112,0.7223915188382349,0.8958530112892763,-0.07416383900319713
3549,2.1088719622773797,1.7044634087753416,1.0212631192995822,1.3448261315638421,1.797813821840317,2.032752099520538,1.7509137849266863,0.8029173591381559,1.487028795981119,2.1415621028750187,1.447750650973772,1.0322779241502897,0.9605317740042405,1.7638781447202105,1.5865029744861263,2.0525867369089505,0.7249140976128717,0.8091634289853494,1.163449904572395,0.7767617345931792
3458,1.152339622727232,1.4942658051195494,1.2649566335608502,1.599344315083815,1.6903633667575964,1.4804494321154233,1.5289592553887468,1.1858387168797264,0.6026325877947614,0.8819994512230029,0.7287082734611234,1.1946308951535543,0.5626618470919473,1.4377498592563016,0.7589568946849086,2.257931005929122,1.2329679621133733,1.1694170274740927,0.9001591908015735,0.7243495906101873
4732,1.736991437356353,1.9481046477550736,0.6543088405279386,0.33719426450265466,1.8269021465504434,1.4057133185316317,1.507618642834745,1.5831417887443546,1.6186538135456991,1.6481941383815317,0.7545889320018724,1.2674180149294927,1.0300526476853962,1.6605033484121658,1.5896094997901686,2.2132864029442207,1.4551560110324133,0.9891336659512204,1.0397832917886987,0.6975958974088182
3665,2.446900653101432,1.3011106389527645,1.4068514639184164,1.8094857625449277,0.6243198619549643,1.5352948201989356,0.7325742142078486,1.3444843494400602,1.4100500216747913,1.6656665856218615,0.32155637128555714,0.9383687692563353,1.0801398041514174,1.6817792457235685,0.8751018929250303,2.0841681518803226,0.8733024082608297,0.5234299778380022,0.6342185836086711,1.102853486925619
3819,1.61843038577089,1.3582496575156935,1.4390887616773644,0.69071982707661,1.605290375063059,1.0465505815397242,1.092056471743812,1.3308561629229372,1.677061331045761,-0.4697308220542805,1.272350476154928,0.7577480154444254,1.2397543140433185,0.39107821142140475,1.624444463731627,1.569394576265068,0.7350149392422062,0.7540063721357089,1.3313542038243633,1.584897053955528
86,0.691818723815099,1.2944993677845447,0.5500658564185604,0.7672150352847293,1.3068912565670492,1.674006757734408,0.24301468478348195,1.7566296116280555,1.4094783949112328,1.7905663515632417,1.4671663198765483,0.9552826704314106,0.9547045912702478,1.5605187822413003,1.1479684896361104,2.9910395950538535,1.1765886970535617,1.0427509263477293,0.7924089780987362,0.8726191944798911
